Pretty Formula,A,B
ScMo,Sc2+,Mo2-
ScRu,Sc2+,Ru2-
ScRh,Sc1+,Rh1-
ScSb,Sc3+,Sb3-
ScTe,Sc2+,Te2-
ScI,Sc1+,I1-
ScTa,Sc1+,Ta1-
ScW,Sc1+,W1-
ScW,Sc2+,W2-
ScRe,Sc1+,Re1-
ScRe,Sc3+,Re3-
ScOs,Sc1+,Os1-
ScOs,Sc2+,Os2-
ScIr,Sc1+,Ir1-
ScIr,Sc3+,Ir3-
ScPt,Sc1+,Pt1-
ScPt,Sc2+,Pt2-
ScAu,Sc1+,Au1-
ScTl,Sc1+,Tl1-
ScBi,Sc3+,Bi3-
TiH,Ti1+,H1-
TiC,Ti1+,C1-
TiC,Ti2+,C2-
TiC,Ti3+,C3-
TiC,Ti4+,C4-
TiN,Ti1+,N1-
TiN,Ti2+,N2-
TiN,Ti3+,N3-
TiO,Ti1+,O1-
TiO,Ti2+,O2-
TiF,Ti1+,F1-
TiSi,Ti1+,Si1-
TiSi,Ti2+,Si2-
TiSi,Ti3+,Si3-
TiSi,Ti4+,Si4-
TiP,Ti1+,P1-
TiP,Ti2+,P2-
TiP,Ti3+,P3-
TiS,Ti1+,S1-
TiS,Ti2+,S2-
TiCl,Ti1+,Cl1-
TiV,Ti1+,V1-
TiCr,Ti1+,Cr1-
TiCr,Ti2+,Cr2-
TiMn,Ti1+,Mn1-
TiMn,Ti2+,Mn2-
TiMn,Ti3+,Mn3-
TiFe,Ti1+,Fe1-
TiFe,Ti2+,Fe2-
TiCo,Ti1+,Co1-
TiNi,Ti1+,Ni1-
TiGe,Ti1+,Ge1-
TiGe,Ti2+,Ge2-
TiGe,Ti3+,Ge3-
TiGe,Ti4+,Ge4-
TiAs,Ti3+,As3-
TiSe,Ti2+,Se2-
TiBr,Ti1+,Br1-
TiNb,Ti1+,Nb1-
TiMo,Ti1+,Mo1-
TiMo,Ti2+,Mo2-
TiRu,Ti2+,Ru2-
TiRh,Ti1+,Rh1-
TiSn,Ti4+,Sn4-
TiSb,Ti3+,Sb3-
TiTe,Ti2+,Te2-
TiI,Ti1+,I1-
TiW,Ti1+,W1-
TiW,Ti2+,W2-
TiRe,Ti1+,Re1-
TiRe,Ti3+,Re3-
TiOs,Ti1+,Os1-
TiOs,Ti2+,Os2-
TiIr,Ti1+,Ir1-
TiIr,Ti3+,Ir3-
TiPt,Ti1+,Pt1-
TiPt,Ti2+,Pt2-
TiAu,Ti1+,Au1-
TiTl,Ti1+,Tl1-
TiPb,Ti4+,Pb4-
TiBi,Ti3+,Bi3-
VH,V1+,H1-
VC,V1+,C1-
VC,V2+,C2-
